date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
01/11/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,180227,806035.83,0,0
01/11/2018,Y62,NORTH WEST COMMISSIONING REGION,181575,764086.58,0,0
01/11/2018,Y59,SOUTH EAST COMMISSIONING REGION,185677,731258.63,0,0
01/11/2018,Y60,MIDLANDS COMMISSIONING REGION,237241,1034299.23,0,0
01/12/2018,Y56,LONDON COMMISSIONING REGION,125986,452235.71,0,0
01/12/2018,Y58,SOUTH WEST COMMISSIONING REGION,147989,418341.41,0,0
01/12/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,156605,566556.27,0,0
01/12/2018,Y62,NORTH WEST COMMISSIONING REGION,175159,716229.43,0,0
01/12/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,177866,774175.37,0,0
01/12/2018,Y59,SOUTH EAST COMMISSIONING REGION,183778,700317.91,0,0
01/12/2018,Y60,MIDLANDS COMMISSIONING REGION,233615,1034800.55,0,0
01/01/2019,Y56,LONDON COMMISSIONING REGION,134433,462970.66,0,0
01/01/2019,Y58,SOUTH WEST COMMISSIONING REGION,154104,426765.64,0,0
01/01/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,162282,583420.42,0,0
01/01/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,184217,803888.07,0,0
01/01/2019,Y62,NORTH WEST COMMISSIONING REGION,184282,785164.05,0,0
01/01/2019,Y59,SOUTH EAST COMMISSIONING REGION,191781,739560.12,0,0
01/01/2019,Y60,MIDLANDS COMMISSIONING REGION,245960,1083581.51,0,0
01/02/2019,Y56,LONDON COMMISSIONING REGION,119397,426730.15,0,0
01/02/2019,Y58,SOUTH WEST COMMISSIONING REGION,136790,390516.95,0,0
01/02/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,145041,521739.09,0,0
01/02/2019,Y62,NORTH WEST COMMISSIONING REGION,164186,677326.87,0,0
01/02/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,164357,709479.24,0,0
01/02/2019,Y59,SOUTH EAST COMMISSIONING REGION,169009,649904.22,0,0
01/02/2019,Y60,MIDLANDS COMMISSIONING REGION,219571,971753.91,0,0
01/03/2019,Y56,LONDON COMMISSIONING REGION,128373,458258.25,0,0
01/03/2019,Y58,SOUTH WEST COMMISSIONING REGION,146529,405543.12,0,0
01/03/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,155123,578202.21,0,0
01/03/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,174715,771008.84,0,0
01/03/2019,Y62,NORTH WEST COMMISSIONING REGION,174765,736050.91,0,0
01/03/2019,Y59,SOUTH EAST COMMISSIONING REGION,181857,700940.74,0,0
01/03/2019,Y60,MIDLANDS COMMISSIONING REGION,233442,1039664.74,0,0
01/04/2019,Y56,LONDON COMMISSIONING REGION,123613,443080.38,0,0
01/04/2019,Y58,SOUTH WEST COMMISSIONING REGION,142159,399824.09,0,0
01/04/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,152010,554645.54,0,0
01/04/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,171417,746907.28,0,0
01/04/2019,Y62,NORTH WEST COMMISSIONING REGION,171868,712744.19,0,0
01/04/2019,Y59,SOUTH EAST COMMISSIONING REGION,177565,681170.24,0,0
01/04/2019,Y60,MIDLANDS COMMISSIONING REGION,228457,988542.2,0,0
01/05/2019,Y56,LONDON COMMISSIONING REGION,132076,483345.27,0,0
01/05/2019,Y58,SOUTH WEST COMMISSIONING REGION,150981,429286.88,0,0
01/05/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,160566,586514,0,0
01/05/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,181313,816280.78,0,0
01/05/2019,Y62,NORTH WEST COMMISSIONING REGION,182689,771746.48,0,0
01/05/2019,Y59,SOUTH EAST COMMISSIONING REGION,186094,732943.42,0,0
01/05/2019,Y60,MIDLANDS COMMISSIONING REGION,242853,1066698.17,0,0
01/06/2019,Y56,LONDON COMMISSIONING REGION,121504,443245.64,0,0
01/06/2019,Y58,SOUTH WEST COMMISSIONING REGION,139877,399243.4,0,0
01/06/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,148531,551512.04,0,0
01/06/2019,Y62,NORTH WEST COMMISSIONING REGION,166251,704169.82,0,0
01/06/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,167506,761238.72,0,0
01/06/2019,Y59,SOUTH EAST COMMISSIONING REGION,172851,696073,0,0
01/06/2019,Y60,MIDLANDS COMMISSIONING REGION,224523,1007517.79,0,0
01/07/2019,Y56,LONDON COMMISSIONING REGION,129963,522401.65,0,0
01/07/2019,Y58,SOUTH WEST COMMISSIONING REGION,139729,449996.04,0,0
01/07/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,153199,620865.05,0,0
01/07/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,172026,932401.86,0,0
01/07/2019,Y62,NORTH WEST COMMISSIONING REGION,175552,779703.27,0,0
01/07/2019,Y59,SOUTH EAST COMMISSIONING REGION,176433,773503.04,0,0
01/07/2019,Y60,MIDLANDS COMMISSIONING REGION,231572,1177810.99,0,0
01/08/2019,Y56,LONDON COMMISSIONING REGION,126536,520462.94,0,0
01/08/2019,Y58,SOUTH WEST COMMISSIONING REGION,152158,490128.4,0,0
01/08/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,158850,648895.89,0,0
01/08/2019,Y62,NORTH WEST COMMISSIONING REGION,179684,792741.02,0,0
01/08/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,180614,984717.17,0,0
01/08/2019,Y59,SOUTH EAST COMMISSIONING REGION,186674,829449.98,0,0
